bin_prey_area,n,popping_time_mean,popping_time_sd,popping_time_median,popping_time_mad,popping_time_CV,first_peak_mean,first_peak_sd,first_peak_median,first_peak_mad,first_peak_CV,start_size_mean,start_size_sd,start_size_median,start_size_mad,start_size_CV,central_size_mean,central_size_sd,central_size_median,central_size_mad,central_size_CV,end_size_mean,end_size_sd,end_size_median,end_size_mad,end_size_CV,difference_popping_point_end_of_growth_min_mean,difference_popping_point_end_of_growth_min_sd,difference_popping_point_end_of_growth_min_median,difference_popping_point_end_of_growth_min_mad,difference_popping_point_end_of_growth_min_CV
"[2.4, 3.377)",100,387.04,85.27103786743714,376,71.1648,0.22031582747890952,50.39,10.33176429925468,47,10.3782,0.20503600514496287,0.8024033431952253,0.14322574073780273,0.8165548090760401,0.12172609282130127,0.17849594216228956,1.0103718316947776,0.20779324392436366,1.0019880550405507,0.19690194613941597,0.2056601712419233,2.3155939223587874,0.5063114259756089,2.3147518472916344,0.4052906889542351,0.21865294302545632,-16.08,75.45467299490255,0,11.8608,-4.692454788240209
"[3.377, 4.029)",100,431.36,91.36755828559012,440,65.2344,0.21181277421548153,56.4,10.193085396433696,56,8.8956,0.18072846447577476,0.8866817579904477,0.1409098851860535,0.91519901419932,0.12187491542981249,0.15891821830800712,1.1957719584096929,0.2424929673426886,1.2357878727313238,0.2645440760725448,0.20279198356950112,3.0080906850219065,0.6280787336661353,3.0613356264079026,0.5727147968315777,0.2087964757158115,-19.84,92.75652063985648,0,11.8608,-4.675227854831475
"[4.029, 9.578]",100,448.56,97.03985643731001,468,83.0256,0.21633640190233192,60.58,11.435528546215654,61,10.3782,0.1887673909906843,0.9959647227692734,0.25925617516678656,0.97000135037892,0.17874987596372482,0.2603065843998234,1.5161750587035896,0.5010602229254728,1.4843239882372963,0.35958709710812925,0.3304764974526794,4.244505515867537,1.7819321031522648,3.8118148228206943,1.0089959730649374,0.4198208946815456,-36.08,119.37883676207717,0,11.8608,-3.3087260743369504
