condition,n,popping_time_mean,popping_time_sd,popping_time_median,popping_time_mad,popping_time_CV,first_peak_mean,first_peak_sd,first_peak_median,first_peak_mad,first_peak_CV,start_size_mean,start_size_sd,start_size_median,start_size_mad,start_size_CV,central_size_mean,central_size_sd,central_size_median,central_size_mad,central_size_CV,end_size_mean,end_size_sd,end_size_median,end_size_mad,end_size_CV,difference_popping_point_end_of_growth_min_mean,difference_popping_point_end_of_growth_min_sd,difference_popping_point_end_of_growth_min_median,difference_popping_point_end_of_growth_min_mad,difference_popping_point_end_of_growth_min_CV
WT,58,361.2413793103448,50.19097225906009,352,35.5824,0.1389402630309987,45.36206896551724,7.193316283401908,44,4.4478,0.15857557751323098,0.7640939356204591,0.11940023607242241,0.76997282332338,0.09343743516285617,0.15626381849957635,0.9872178511699817,0.21499042731297527,0.9380977814322546,0.13331505744221903,0.2177740476007232,2.5691396260273565,0.7090232729140518,2.466105128082,0.5768745997011121,0.2759769324061261,-1.6551724137931034,42.957568507482065,0,11.8608,-25.953530973270414
William,242,436.9586776859504,97.01404241891994,448,83.0256,0.22202109117660224,58.289256198347104,10.832514461977183,57,10.3782,0.18584067062232232,0.9263947691301984,0.20862507431723973,0.92067924781728006,0.1364197914082167,0.22520104956240197,1.3015423533592854,0.4114022181276517,1.2544994629987998,0.30804666142201553,0.316088229526931,3.338053363699324,1.4596011762973977,3.1196466697344287,0.9831243178004871,0.4372611870649746,-29.355371900826448,105.99873635073394,0,11.8608,-3.6108803768127267
