condition,n,diff_last_max_focis_first_focis_min_mean,diff_last_max_focis_first_focis_min_sd,diff_last_max_focis_first_focis_min_median,diff_last_max_focis_first_focis_min_mad,diff_last_max_focis_first_focis_min_CV,diff_first_max_focis_first_focis_min_mean,diff_first_max_focis_first_focis_min_sd,diff_first_max_focis_first_focis_min_median,diff_first_max_focis_first_focis_min_mad,diff_first_max_focis_first_focis_min_CV,diff_popping_time_last_max_focis_min_mean,diff_popping_time_last_max_focis_min_sd,diff_popping_time_last_max_focis_min_median,diff_popping_time_last_max_focis_min_mad,diff_popping_time_last_max_focis_min_CV,diff_popping_time_first_max_focis_min_mean,diff_popping_time_first_max_focis_min_sd,diff_popping_time_first_max_focis_min_median,diff_popping_time_first_max_focis_min_mad,diff_popping_time_first_max_focis_min_CV,area_focis_mean,area_focis_sd,area_focis_median,area_focis_mad,area_focis_CV,max_focis_mean,max_focis_sd,max_focis_median,max_focis_mad,max_focis_CV,popping_frame_mean,popping_frame_sd,popping_frame_median,popping_frame_mad,popping_frame_CV,first_focis_frame_mean,first_focis_frame_sd,first_focis_frame_median,first_focis_frame_mad,first_focis_frame_CV,last_max_focis_frame_mean,last_max_focis_frame_sd,last_max_focis_frame_median,last_max_focis_frame_mad,last_max_focis_frame_CV,first_max_focis_frame_mean,first_max_focis_frame_sd,first_max_focis_frame_median,first_max_focis_frame_mad,first_max_focis_frame_CV,max_focis_duration_min_mean,max_focis_duration_min_sd,max_focis_duration_min_median,max_focis_duration_min_mad,max_focis_duration_min_CV
WT,121,275.864406779661,62.71123827557018,272,59.303999999999995,0.22732631225477026,239.38983050847457,64.4357539835146,240,59.303999999999995,0.26916663020584547,42.03389830508475,30.658842982888295,40,23.7216,0.7293837645122618,78.50847457627118,43.76720580110295,72,35.5824,0.5574838390036861,0.9091292822079814,0.26293629358716125,0.8500847142966828,0.23763717372716558,0.289217714942119,5.4958677685950414,1.7133007468147012,5,1.4826,0.3117434441572614,52.228813559322035,7.260019327220104,51,5.9304,0.13900410199772387,12.363636363636363,5.60357029044876,11,5.9304,0.45322994996276733,46.97457627118644,7.094552941718804,47.5,6.6716999999999995,0.15102963144918252,42.41525423728814,7.554164834385556,42,8.1543,0.1781001899015975,36.47457627118644,38.3529964873999,32,41.5128,1.0514994390132872
Joe,76,268.37333333333333,82.70343849404775,264,59.303999999999995,0.30816563429320254,246.61333333333334,79.05794886840462,240,59.303999999999995,0.3205745115230507,42.666666666666664,26.281908962987046,40,23.7216,0.6159822413200089,64.42666666666666,39.672024772496165,56,23.7216,0.6157702520565423,0.7244580709474107,0.2023319910298574,0.6873739098007707,0.1432884290391411,0.27928737237374907,7.4868421052631575,1.9008308432727101,7.5,2.2239,0.2538895326691142,48.973333333333336,13.915743886976648,47,8.8956,0.28414941233957214,10.039473684210526,4.930019038431621,9,5.1891,0.49106349530904747,43.64,12.960063396575006,41,7.412999999999999,0.2969767047794456,40.92,12.220673666572758,39,8.8956,0.2986479390658054,21.76,34.56128125753098,0,0,1.5882941754380044
William,92,321.1566265060241,79.63950513862234,304,83.0256,0.2479771506042037,303.71084337349396,75.85810407700745,296,71.1648,0.2497708123766907,38.16867469879518,24.556961795230304,32,23.7216,0.6433799965290768,55.6144578313253,35.269634326076464,48,35.5824,0.6341810331595205,0.8411882859877982,0.2556932313204021,0.7921065906466271,0.17796007367575364,0.3039667046957797,9.228260869565217,2.301949774943856,9,1.4826,0.24944567643679008,54.9277108433735,12.52488560147369,52,10.3782,0.22802489689017683,10.228260869565217,5.247926353153435,9,5.9304,0.5130810037089437,50.1566265060241,11.423640366033045,48,10.3782,0.2277593443143749,47.975903614457835,10.920975458547936,46,11.8608,0.22763459644888967,17.44578313253012,27.80123396631804,0,0,1.5935790187875671
Averell,69,353.6774193548387,75.81357078084747,344,65.2344,0.21435796189404155,337.93548387096774,77.09731363305833,336,77.09519999999999,0.22814210792523945,44.645161290322584,29.493592954799436,40,23.7216,0.6606223855482533,60.38709677419355,36.83697128874992,56,35.5824,0.6100139476235297,0.7669278882426915,0.19220812142902338,0.7568860983798603,0.14139235421416443,0.25062085285416014,11.014492753623188,2.5866896493121248,10,2.9652,0.23484419184544292,62,12.60236771924814,59,14.0847,0.20326399547174417,12.695652173913043,6.1770551422323425,12,7.412999999999999,0.4865488639429585,56.41935483870968,11.442727502291467,53.5,12.6021,0.20281563897715005,54.45161290322581,11.421402715027922,51.5,12.6021,0.20975324891342748,15.741935483870968,26.86574727269576,0,0,1.7066355849458372
