condition,n,popping_time_mean,popping_time_sd,popping_time_median,popping_time_mad,popping_time_CV,first_peak_mean,first_peak_sd,first_peak_median,first_peak_mad,first_peak_CV,start_size_mean,start_size_sd,start_size_median,start_size_mad,start_size_CV,central_size_mean,central_size_sd,central_size_median,central_size_mad,central_size_CV,end_size_mean,end_size_sd,end_size_median,end_size_mad,end_size_CV,difference_popping_point_end_of_growth_min_mean,difference_popping_point_end_of_growth_min_sd,difference_popping_point_end_of_growth_min_median,difference_popping_point_end_of_growth_min_mad,difference_popping_point_end_of_growth_min_CV
WT,155,293.0064516129032,50.35890624930103,296,35.5824,0.17186961574426765,36.13548387096774,7.020450108923289,36,4.4478,0.19428133670471523,0.9204195158203083,0.20977471072070955,0.9261594814352401,0.17062488160173747,0.22791206304850173,1.9187561664619817,0.48765814205983243,1.9223631988000314,0.43740875165748777,0.2541532637568177,3.921227277913405,1.196213572471788,3.86904493427976,1.0535276938953546,0.30506101475156694,3.92258064516129,20.495021721748618,8,11.8608,5.224882182353677
Joe,136,275.7647058823529,66.50605489495398,288,35.5824,0.24116956766514883,34.044117647058826,7.837107976665148,35,5.1891,0.23020446756511018,0.7952867549963653,0.23836753048130074,0.84121586035686,0.17468737878273113,0.2997252613397166,1.7035259935713931,0.5740004100802514,1.736636629339292,0.4129408899268939,0.3369484306352591,3.540763035973197,1.4254772449044795,3.44432682888786,0.922186860085581,0.4025904107171294,3.411764705882353,47.309927012200966,8,11.8608,13.866702744955456
William,41,347.1219512195122,82.61482770119152,360,47.4432,0.237999433371898,42.5609756097561,9.407573492904014,44,5.9304,0.22103754338628342,1.0430558493594375,0.32437051966468144,1.03028392017648,0.16249988723974979,0.31098096987221174,2.586884614529526,0.9491513306457277,2.561180808988934,0.8264819846356581,0.36690903232201133,6.018955457890187,2.978559752367274,5.51311501966776,2.2831234157184856,0.49486323220131334,6.634146341463414,55.96863232988679,8,11.8608,8.436448255607935
Averell,63,357.8412698412698,56.11428613142035,352,47.4432,0.15681334396200683,46.3968253968254,9.450276805196157,45,4.4478,0.20368369439868556,0.9661970398183044,0.3184818555102481,0.9974025184687201,0.3006247913935375,0.32962412674141434,3.5245042635999404,1.4023950725905376,3.297171326921067,1.2061740905028844,0.39789853202167125,9.343619453078754,4.117016217667815,8.41763883718656,4.6393717806948604,0.44062327648749056,-13.333333333333334,80.71934652377834,-8,23.7216,-6.053950989283376
