condition,n,sgr_h_mean,sgr_h_sd,sgr_h_median,sgr_h_mad,sgr_h_CV
WT,155,0.3718055356203641,0.4208590547582532,0.3272651300858413,0.06324233483515711,1.1319332673625808
Joe,136,0.39458189891956874,0.28342274133747924,0.3525812550441169,0.07116828646606989,0.7182862217287163
William,41,0.36940606746880555,0.27356414070087326,0.324427412343526,0.046365334360361776,0.7405512924445248
Averell,62,0.3732706354321809,0.07653269784873064,0.37251651462134644,0.06161880254055712,0.2050327311713642
