condition,id,area,first_peak,start_size,end_size,bin_prey_area,difference_popping_point_end_of_growth_min,data,sgr_min,sgr_h
WT,WT-005-b74f13ac-5654-46f7-9f12-8d531ffb3cd0-60,5.326113234152138,47,1.04672462103036,6.654710491377775,"[4.427, 6.133)",0,,0.0056860482233988,0.341162893403928
WT,WT-005-b74f13ac-5654-46f7-9f12-8d531ffb3cd0-62,4.586219968422807,38,1.13440835891772,2.877122649429,"[4.427, 6.133)",16,,0.003911579088555254,0.23469474531331527
WT,WT-005-b74f13ac-5654-46f7-9f12-8d531ffb3cd0-64,5.321800610259174,37,1.00288275208668,4.5924357718504805,"[4.427, 6.133)",-8,,0.005788284990872176,0.34729709945233056
WT,WT-005-b74f13ac-5654-46f7-9f12-8d531ffb3cd0-65,5.549544423099707,42,1.11248742444588,4.5796396286648635,"[4.427, 6.133)",0,,0.004322104248124355,0.2593262548874613
WT,WT-005-b74f13ac-5654-46f7-9f12-8d531ffb3cd0-69,4.423244047227441,33,1.2604537321308,3.1237331622372,"[1.727, 4.427)",8,,0.004411174669340835,0.2646704801604501
WT,WT-005-b74f13ac-5654-46f7-9f12-8d531ffb3cd0-70,5.084449338267934,32,1.33169676916428,3.5511913844380802,"[4.427, 6.133)",8,,0.004490545550758293,0.26943273304549753
WT,WT-005-b74f13ac-5654-46f7-9f12-8d531ffb3cd0-73,5.183152537428693,39,1.10700719082792,4.8993288544562406,"[4.427, 6.133)",8,,0.005440032548879268,0.32640195293275603
WT,WT-005-b74f13ac-5654-46f7-9f12-8d531ffb3cd0-76,3.8756936299523126,31,1.0083629857046401,3.2333378345964,"[1.727, 4.427)",0,,0.005291881732334584,0.31751290394007503
WT,WT-005-b74f13ac-5654-46f7-9f12-8d531ffb3cd0-84,3.527054656754288,34,0.86039667801972,2.77847844430572,"[1.727, 4.427)",16,,0.004677697860692841,0.28066187164157047
WT,WT-005-b74f13ac-5654-46f7-9f12-8d531ffb3cd0-85,6.246046229948934,44,1.2220920968050801,6.166398830583946,"[6.133, 15.79]",-32,,0.0053874650554350135,0.3232479033261008
WT,WT-005-b74f13ac-5654-46f7-9f12-8d531ffb3cd0-86,5.096005308887232,45,0.8768373788736,3.917765839103633,"[4.427, 6.133)",-104,,0.004162512525740856,0.2497507515444514
WT,WT-005-b74f13ac-5654-46f7-9f12-8d531ffb3cd0-87,4.8486454426641075,49,0.9590408831430001,4.54311366928884,"[4.427, 6.133)",-56,,0.004157785676633542,0.24946714059801253
WT,WT-005-a57cec3e-e069-4d82-a31b-a626e3b6b42c-2,3.3638434347060873,35,1.2035164683792041,3.576213633338838,"[1.727, 4.427)",16,,0.00447521914205813,0.2685131485234878
WT,WT-005-a57cec3e-e069-4d82-a31b-a626e3b6b42c-3,4.128007296741316,35,0.7946338746042,3.7539600283026,"[1.727, 4.427)",8,,0.006065334109354177,0.36392004656125065
WT,WT-005-a57cec3e-e069-4d82-a31b-a626e3b6b42c-4,3.3866161860779043,35,0.662719248065828,3.7769599705044663,"[1.727, 4.427)",8,,0.007253591530242375,0.4352154918145425
WT,WT-005-a57cec3e-e069-4d82-a31b-a626e3b6b42c-5,5.018536106725955,39,1.2166118631871201,3.690554505603407,"[4.427, 6.133)",24,,0.00377600017901052,0.2265600107406312
WT,WT-005-a57cec3e-e069-4d82-a31b-a626e3b6b42c-6,3.941602581621333,31,0.685029202245,3.5731123189099203,"[1.727, 4.427)",8,,0.007842260964389315,0.47053565786335894
WT,WT-005-a57cec3e-e069-4d82-a31b-a626e3b6b42c-7,6.806762315978535,40,0.84395597716584,5.54599642137552,"[6.133, 15.79]",0,,0.0064025047556331375,0.38415028533798823
WT,WT-005-a57cec3e-e069-4d82-a31b-a626e3b6b42c-8,4.356445380474048,32,0.86587691163768,2.89904358390084,"[1.727, 4.427)",24,,0.005796328462175247,0.3477797077305148
WT,WT-005-a57cec3e-e069-4d82-a31b-a626e3b6b42c-9,4.400308603488597,36,0.90971878058136,3.34842274057356,"[1.727, 4.427)",8,,0.004764435729721529,0.2858661437832917
WT,WT-005-a57cec3e-e069-4d82-a31b-a626e3b6b42c-11,3.9125453016324006,38,0.80559434184012,2.80039937877756,"[1.727, 4.427)",16,,0.004642347941918618,0.2785408765151171
WT,WT-005-a57cec3e-e069-4d82-a31b-a626e3b6b42c-13,5.979369992182886,48,1.03028392017648,5.51311501966776,"[4.427, 6.133)",0,,0.004743479327196718,0.28460875963180304
WT,WT-005-a57cec3e-e069-4d82-a31b-a626e3b6b42c-14,4.424304190234359,30,0.8494362107838,3.18949596565272,"[1.727, 4.427)",32,,0.006553279250327733,0.393196755019664
WT,WT-005-a57cec3e-e069-4d82-a31b-a626e3b6b42c-15,3.9890053753066237,36,0.7179106039527601,4.13209614794184,"[1.727, 4.427)",8,,0.006406627053151573,0.3843976231890944
