id,condition,area,popping_frame,max_focis,area_focis,first_focis_frame,last_max_focis_frame,first_max_focis_frame,max_focis_duration_frame,max_focis_duration_min,diff_last_max_focis_first_focis_frame,diff_first_max_focis_first_focis_frame,diff_popping_time_first_max_focis_frame,diff_popping_time_last_max_focis_frame,diff_last_max_focis_first_focis_min,diff_first_max_focis_first_focis_min,diff_popping_time_last_max_focis_min,diff_popping_time_first_max_focis_min,bin_prey_area
Citrobacter-5-d716aabd-e7bc-4ac3-905b-e7badb3b217a-5,Citrobacter,3.796291093427812,25,8,0.4745363866784765,2,69,69,0,0,67,67,-44,-44,536,536,-352,-352,"[2.598, 4.073)"
Citrobacter-5-d716aabd-e7bc-4ac3-905b-e7badb3b217a-6,Citrobacter,3.875483779692744,32,8,0.484435472461593,2,33,33,0,0,31,31,-1,-1,248,248,-8,-8,"[2.598, 4.073)"
Citrobacter-5-d716aabd-e7bc-4ac3-905b-e7badb3b217a-8,Citrobacter,4.355221154392407,25,3,1.4517403847974688,2,77,20,57,456,75,18,5,-52,600,144,-416,40,"[4.073, 6.571]"
Citrobacter-5-d716aabd-e7bc-4ac3-905b-e7badb3b217a-9,Citrobacter,4.644399529922357,31,7,0.6634856471317653,3,84,84,0,0,81,81,-53,-53,648,648,-424,-424,"[4.073, 6.571]"
Citrobacter-6-3f5e119c-ff27-4005-bc27-ed4e2e3f7e6c-1,Citrobacter,3.7325374383247856,30,6,0.6220895730541309,6,30,30,0,0,24,24,0,0,192,192,0,0,"[2.598, 4.073)"
Citrobacter-6-3f5e119c-ff27-4005-bc27-ed4e2e3f7e6c-11,Citrobacter,5.021725742229637,37,6,0.8369542903716062,2,38,38,0,0,36,36,-1,-1,288,288,-8,-8,"[4.073, 6.571]"
Citrobacter-6-3f5e119c-ff27-4005-bc27-ed4e2e3f7e6c-14,Citrobacter,4.522695216242086,39,5,0.9045390432484173,13,38,29,9,72,25,16,10,1,200,128,8,80,"[4.073, 6.571]"
Citrobacter-6-3f5e119c-ff27-4005-bc27-ed4e2e3f7e6c-15,Citrobacter,3.602961443962835,51,4,0.9007403609907088,3,50,50,0,0,47,47,1,1,376,376,8,8,"[2.598, 4.073)"
Citrobacter-6-3f5e119c-ff27-4005-bc27-ed4e2e3f7e6c-16,Citrobacter,4.189103632862514,44,5,0.8378207265725027,5,40,40,0,0,35,35,4,4,280,280,32,32,"[4.073, 6.571]"
Citrobacter-6-3f5e119c-ff27-4005-bc27-ed4e2e3f7e6c-4,Citrobacter,5.545896363133451,55,6,0.9243160605222419,7,55,52,3,24,48,45,3,0,384,360,0,24,"[4.073, 6.571]"
Citrobacter-6-3f5e119c-ff27-4005-bc27-ed4e2e3f7e6c-9,Citrobacter,4.139048050082493,33,5,0.8278096100164986,4,35,30,5,40,31,26,3,-2,248,208,-16,24,"[4.073, 6.571]"
Citrobacter-6-51792d8d-303a-4d2e-b6bc-5c9252f4ee13-1,Citrobacter,5.088605415772675,31,6,0.8481009026287792,3,28,21,7,56,25,18,10,3,200,144,24,80,"[4.073, 6.571]"
Citrobacter-6-51792d8d-303a-4d2e-b6bc-5c9252f4ee13-2,Citrobacter,2.5975603693718856,25,4,0.6493900923429714,3,27,23,4,32,24,20,2,-2,192,160,-16,16,"[2.598, 4.073)"
Citrobacter-6-51792d8d-303a-4d2e-b6bc-5c9252f4ee13-3,Citrobacter,4.925965003428559,25,5,0.9851930006857119,12,35,32,3,24,23,20,-7,-10,184,160,-80,-56,"[4.073, 6.571]"
Citrobacter-6-51792d8d-303a-4d2e-b6bc-5c9252f4ee13-5,Citrobacter,3.176658703480083,106,4,0.7941646758700207,3,100,24,76,608,97,21,82,6,776,168,48,656,"[2.598, 4.073)"
Citrobacter-6-51792d8d-303a-4d2e-b6bc-5c9252f4ee13-6,Citrobacter,4.380120743993967,41,5,0.8760241487987933,6,42,41,1,8,36,35,0,-1,288,280,-8,0,"[4.073, 6.571]"
Citrobacter-6-51792d8d-303a-4d2e-b6bc-5c9252f4ee13-7,Citrobacter,4.539571393897452,34,6,0.756595232316242,7,31,26,5,40,24,19,8,3,192,152,24,64,"[4.073, 6.571]"
Citrobacter-6-ab59d84f-ea6a-4c16-b79b-3493c195c681-13,Citrobacter,4.465067684054668,25,3,1.4883558946848894,8,52,52,0,0,44,44,-27,-27,352,352,-216,-216,"[4.073, 6.571]"
Citrobacter-6-ab59d84f-ea6a-4c16-b79b-3493c195c681-15,Citrobacter,5.125398934522005,23,8,0.6406748668152507,3,21,21,0,0,18,18,2,2,144,144,16,16,"[4.073, 6.571]"
Citrobacter-6-ab59d84f-ea6a-4c16-b79b-3493c195c681-4,Citrobacter,4.2681323389473516,30,8,0.53351654236841894,3,29,29,0,0,26,26,1,1,208,208,8,8,"[4.073, 6.571]"
Citrobacter-6-ab59d84f-ea6a-4c16-b79b-3493c195c681-7,Citrobacter,4.097327265855291,27,6,0.6828878776425484,2,28,25,3,24,26,23,2,-1,208,184,-8,16,"[4.073, 6.571]"
Citrobacter-6-ab59d84f-ea6a-4c16-b79b-3493c195c681-8,Citrobacter,5.767201459591609,43,5,1.1534402919183218,3,44,39,5,40,41,36,4,-1,328,288,-8,32,"[4.073, 6.571]"
Citrobacter-6-b528d024-18ec-4caf-967e-43a3172f106b-1,Citrobacter,4.072624828819926,35,8,0.5090781036024907,3,34,34,0,0,31,31,1,1,248,248,8,8,"[2.598, 4.073)"
Citrobacter-6-b528d024-18ec-4caf-967e-43a3172f106b-10,Citrobacter,4.851426359633872,33,9,0.5390473732926524,2,38,38,0,0,36,36,-5,-5,288,288,-40,-40,"[4.073, 6.571]"
Citrobacter-6-b528d024-18ec-4caf-967e-43a3172f106b-11,Citrobacter,4.5253352754775795,40,5,0.9050670550955159,3,37,37,0,0,34,34,3,3,272,272,24,24,"[4.073, 6.571]"
Citrobacter-6-b528d024-18ec-4caf-967e-43a3172f106b-3,Citrobacter,4.457537368976709,37,6,0.7429228948294515,4,38,34,4,32,34,30,3,-1,272,240,-8,24,"[4.073, 6.571]"
Citrobacter-6-b528d024-18ec-4caf-967e-43a3172f106b-4,Citrobacter,4.157740447499226,29,4,1.0394351118748064,3,38,26,12,96,35,23,3,-9,280,184,-72,24,"[4.073, 6.571]"
Citrobacter-6-b528d024-18ec-4caf-967e-43a3172f106b-6,Citrobacter,5.3125464045584705,25,6,0.885424400759745,4,35,35,0,0,31,31,-10,-10,248,248,-80,-80,"[4.073, 6.571]"
Citrobacter-6-b528d024-18ec-4caf-967e-43a3172f106b-7,Citrobacter,3.4507587266336546,25,3,1.1502529088778848,4,56,56,0,0,52,52,-31,-31,416,416,-248,-248,"[2.598, 4.073)"
Citrobacter-6-b528d024-18ec-4caf-967e-43a3172f106b-9,Citrobacter,4.004858058920046,29,5,0.8009716117840092,7,29,29,0,0,22,22,0,0,176,176,0,0,"[2.598, 4.073)"
Citrobacter-6-b5fcb074-0923-471b-897c-6222efeb5528-1,Citrobacter,3.1897635778511155,30,5,0.63795271557022315,4,30,24,6,48,26,20,6,0,208,160,0,48,"[2.598, 4.073)"
Citrobacter-6-b5fcb074-0923-471b-897c-6222efeb5528-2,Citrobacter,4.76222517717149,39,5,0.9524450354342979,8,36,35,1,8,28,27,4,3,224,216,24,32,"[4.073, 6.571]"
Citrobacter-6-b5fcb074-0923-471b-897c-6222efeb5528-3,Citrobacter,3.193328588724285,25,6,0.5322214314540475,4,24,24,0,0,20,20,1,1,160,160,8,8,"[2.598, 4.073)"
Citrobacter-6-b5fcb074-0923-471b-897c-6222efeb5528-5,Citrobacter,3.865990745996332,26,7,0.5522843922851902,2,26,26,0,0,24,24,0,0,192,192,0,0,"[2.598, 4.073)"
Citrobacter-6-b5fcb074-0923-471b-897c-6222efeb5528-6,Citrobacter,6.3229442758625325,42,6,1.0538240459770887,5,44,44,0,0,39,39,-2,-2,312,312,-16,-16,"[4.073, 6.571]"
Citrobacter-6-b5fcb074-0923-471b-897c-6222efeb5528-7,Citrobacter,4.900935720532164,41,7,0.7001336743617378,3,42,39,3,24,39,36,2,-1,312,288,-8,16,"[4.073, 6.571]"
Citrobacter-6-b5fcb074-0923-471b-897c-6222efeb5528-8,Citrobacter,3.204027618900364,33,5,0.6408055237800727,6,34,34,0,0,28,28,-1,-1,224,224,-8,-8,"[2.598, 4.073)"
Citrobacter-6-b5fcb074-0923-471b-897c-6222efeb5528-9,Citrobacter,3.32234227226463,32,6,0.553723712044105,3,31,31,0,0,28,28,1,1,224,224,8,8,"[2.598, 4.073)"
Citrobacter-6-b9d93a58-1c7c-42bb-a0eb-9aa11d515c8f-1,Citrobacter,4.649932731389602,41,4,1.1624831828474005,13,42,32,10,80,29,19,9,-1,232,152,-8,72,"[4.073, 6.571]"
Citrobacter-6-b9d93a58-1c7c-42bb-a0eb-9aa11d515c8f-11,Citrobacter,3.9988678156661557,46,6,0.66647796927769265,12,35,35,0,0,23,23,11,11,184,184,88,88,"[2.598, 4.073)"
Citrobacter-6-b9d93a58-1c7c-42bb-a0eb-9aa11d515c8f-2,Citrobacter,3.646241650390623,35,4,0.9115604125976557,6,35,32,3,24,29,26,3,0,232,208,0,24,"[2.598, 4.073)"
Citrobacter-6-b9d93a58-1c7c-42bb-a0eb-9aa11d515c8f-3,Citrobacter,5.286294240302292,39,4,1.321573560075573,4,39,32,7,56,35,28,7,0,280,224,0,56,"[4.073, 6.571]"
Citrobacter-6-b9d93a58-1c7c-42bb-a0eb-9aa11d515c8f-4,Citrobacter,3.1121457930572425,33,4,0.7780364482643106,3,33,22,11,88,30,19,11,0,240,152,0,88,"[2.598, 4.073)"
