condition,n,diff_last_max_focis_first_focis_min_mean,diff_last_max_focis_first_focis_min_sd,diff_last_max_focis_first_focis_min_median,diff_last_max_focis_first_focis_min_mad,diff_last_max_focis_first_focis_min_CV,diff_first_max_focis_first_focis_min_mean,diff_first_max_focis_first_focis_min_sd,diff_first_max_focis_first_focis_min_median,diff_first_max_focis_first_focis_min_mad,diff_first_max_focis_first_focis_min_CV,diff_popping_time_last_max_focis_min_mean,diff_popping_time_last_max_focis_min_sd,diff_popping_time_last_max_focis_min_median,diff_popping_time_last_max_focis_min_mad,diff_popping_time_last_max_focis_min_CV,diff_popping_time_first_max_focis_min_mean,diff_popping_time_first_max_focis_min_sd,diff_popping_time_first_max_focis_min_median,diff_popping_time_first_max_focis_min_mad,diff_popping_time_first_max_focis_min_CV,area_focis_mean,area_focis_sd,area_focis_median,area_focis_mad,area_focis_CV,max_focis_mean,max_focis_sd,max_focis_median,max_focis_mad,max_focis_CV,popping_frame_mean,popping_frame_sd,popping_frame_median,popping_frame_mad,popping_frame_CV,first_focis_frame_mean,first_focis_frame_sd,first_focis_frame_median,first_focis_frame_mad,first_focis_frame_CV,last_max_focis_frame_mean,last_max_focis_frame_sd,last_max_focis_frame_median,last_max_focis_frame_mad,last_max_focis_frame_CV,first_max_focis_frame_mean,first_max_focis_frame_sd,first_max_focis_frame_median,first_max_focis_frame_mad,first_max_focis_frame_CV,max_focis_duration_min_mean,max_focis_duration_min_sd,max_focis_duration_min_median,max_focis_duration_min_mad,max_focis_duration_min_CV
WT,102,264.15686274509807,58.3222093284477,264,53.373599999999996,0.22078627343756177,232.3921568627451,62.82462733086667,240,59.303999999999995,0.27033884524757,28.313725490196077,31.79481880456291,16,23.7216,1.122947201546197,60.07843137254902,56.05931905544867,56,47.4432,0.933102242763669,0.7892484285052797,0.3565723048872764,0.6467014898144865,0.14631342328289257,0.45178715852823664,5.3431372549019605,1.5951355387286568,5.5,2.2239,0.29853912834921653,48.745098039215684,9.883165278942126,47,10.3782,0.20275198279406614,12.186274509803921,7.377689665144868,10,5.9304,0.6054097713956369,45.205882352941174,7.863108794033961,44,8.8956,0.17393994729808374,41.23529411764706,8.258420809638727,41,7.412999999999999,0.20027554031934144,31.764705882352942,45.92830755711724,16,23.7216,1.4458911638351724
William,28,257.7142857142857,75.71821892549161,256,83.0256,0.2938068361853887,218.85714285714286,83.57108940373449,216,106.74719999999999,0.3818522361789435,32,27.883354917969996,32,35.5824,0.8713548411865624,70.85714285714286,69.22091007444493,56,41.5128,0.9769080050828921,0.8414460066143128,0.3580310936005755,0.7008813244709273,0.22572097515856188,0.4254950297300341,4.678571428571429,1.5647404572045482,5,1.4826,0.3344483419979187,50.25,11.974123334492159,53,11.8608,0.23829101163168476,14.035714285714286,8.107984829130972,11.5,5.1891,0.5776681303197638,46.25,9.939166818050547,47,7.412999999999999,0.21490090417406588,41.392857142857146,11.275470872040927,44.5,6.6716999999999995,0.27240136705534596,38.857142857142854,68.91202888369871,12,17.7912,1.7734713315657757
