max_focis,n,diff_last_max_focis_first_focis_min_mean,diff_last_max_focis_first_focis_min_sd,diff_last_max_focis_first_focis_min_median,diff_last_max_focis_first_focis_min_mad,diff_last_max_focis_first_focis_min_CV,diff_first_max_focis_first_focis_min_mean,diff_first_max_focis_first_focis_min_sd,diff_first_max_focis_first_focis_min_median,diff_first_max_focis_first_focis_min_mad,diff_first_max_focis_first_focis_min_CV,diff_popping_time_last_max_focis_min_mean,diff_popping_time_last_max_focis_min_sd,diff_popping_time_last_max_focis_min_median,diff_popping_time_last_max_focis_min_mad,diff_popping_time_last_max_focis_min_CV,diff_popping_time_first_max_focis_min_mean,diff_popping_time_first_max_focis_min_sd,diff_popping_time_first_max_focis_min_median,diff_popping_time_first_max_focis_min_mad,diff_popping_time_first_max_focis_min_CV,area_focis_mean,area_focis_sd,area_focis_median,area_focis_mad,area_focis_CV,popping_frame_mean,popping_frame_sd,popping_frame_median,popping_frame_mad,popping_frame_CV,first_focis_frame_mean,first_focis_frame_sd,first_focis_frame_median,first_focis_frame_mad,first_focis_frame_CV,last_max_focis_frame_mean,last_max_focis_frame_sd,last_max_focis_frame_median,last_max_focis_frame_mad,last_max_focis_frame_CV,first_max_focis_frame_mean,first_max_focis_frame_sd,first_max_focis_frame_median,first_max_focis_frame_mad,first_max_focis_frame_CV,max_focis_duration_min_mean,max_focis_duration_min_sd,max_focis_duration_min_median,max_focis_duration_min_mad,max_focis_duration_min_CV,area_mean,area_sd,area_median,area_mad,area_CV
2,6,258.6666666666667,121.50171466554151,280,142.3296,0.4697231237069904,112,70.10848736066126,88,53.373599999999996,0.6259686371487613,16,31.597468253010398,4,5.9304,1.9748417658131499,162.66666666666666,148.6938689612543,92,71.1648,0.9141016534503339,1.7869359865465124,0.4565063678472,1.8659585250299662,0.35119603296488633,0.2554687863942224,45,18.793615937333612,56,2.9652,0.4176359097185247,10.666666666666666,8.01664934163062,7.5,4.4478,0.7515608757778707,43,17.435595774162696,52,5.9304,0.4054789714921557,24.666666666666668,15.794513815457147,17.5,8.1543,0.6403181276536681,146.66666666666666,131.32351909184686,84,59.303999999999995,0.8953876301716832,3.573871973093025,0.9130127356944,3.7319170500599324,0.7023920659297727,0.2554687863942224
3,18,271.55555555555554,83.06922855080661,268,112.6776,0.30590141446696384,204.44444444444446,73.38393975781817,212,88.95599999999999,0.35894318359802363,40,28.383922541176887,40,17.7912,0.7095980635294221,107.11111111111111,68.16665468143142,104,77.09519999999999,0.6364106764863929,1.2562640211056053,0.26700554343259825,1.1611172336694868,0.29145770288791467,0.21253935394696222,57.833333333333336,9.605451883297992,58,5.1891,0.16608850518670878,18.88888888888889,9.125844933573767,18.5,12.6021,0.48313296707155234,52.833333333333336,8.04582463875811,53,5.9304,0.1522869016799642,44.44444444444444,10.077477638553983,45.5,8.1543,0.22674324686746464,67.11111111111111,62.03688550691994,48,65.2344,0.924390678083244,3.768792063316816,0.8010166302977948,3.48335170100846,0.8743731086637441,0.21253935394696222
4,18,242.22222222222223,64.51589458106251,248,71.1648,0.26635002349979936,211.55555555555554,65.46685036514302,232,77.09519999999999,0.30945464983523485,57.333333333333336,48.79729982886589,48,59.303999999999995,0.8511156946895213,88,47.20917159147088,84,53.373599999999996,0.5364678589939872,0.8763773039046551,0.18428232088182434,0.8418891854313881,0.22598300749110684,0.21027737717620448,57.77777777777778,11.669747492381646,60,15.5673,0.2019763989066054,20.333333333333332,7.9038337681971855,22.5,9.636899999999999,0.38871313614084524,50.611111111111114,7.0971318887105115,51.5,8.1543,0.1402287310612395,46.77777777777778,8.735024533152226,47.5,10.3782,0.18673449120752977,30.666666666666668,27.610739598505337,24,35.5824,0.9003502042990871,3.5055092156186203,0.7371292835272973,3.3675567417255525,0.9039320299644273,0.21027737717620448
5,29,252.41379310344828,40.033483522617225,248,35.5824,0.15860259865517753,230.06896551724137,50.17251028379326,224,47.4432,0.21807595896732682,24.82758620689655,21.630119485696728,16,11.8608,0.8712131459516738,47.172413793103445,27.65872242364738,48,35.5824,0.5863325659983728,0.6826299400334772,0.11861392907694765,0.6603525686674805,0.09254757915287962,0.1737602207590406,46.51724137931034,7.380576292129287,45,8.8956,0.15866324126890238,11.862068965517242,5.21484240229637,11,4.4478,0.43962334205405446,43.41379310344828,5.791109204013328,43,7.412999999999999,0.13339330176043407,40.62068965517241,6.43879865183077,41,5.9304,0.15851032334727702,22.344827586206897,24.692792271182764,8,11.8608,1.1050786664572534,3.4131497001673865,0.5930696453847383,3.3017628433374027,0.46273789576439844,0.1737602207590406
6,29,268.13793103448273,44.11002812604848,272,35.5824,0.16450499172523228,240,50.68671282636957,248,47.4432,0.21119463677653988,18.75862068965517,23.055298697469887,8,11.8608,1.2290508496812993,46.89655172413793,32.68720241884343,48,35.5824,0.6970065221665143,0.598276591811361,0.08649720503865498,0.5961388529413693,0.09844293195179127,0.1445772845244928,44.6551724137931,6.3935003942003785,44,7.412999999999999,0.14317491230255674,8.793103448275861,3.76429950175544,8,2.9652,0.4280968060819913,42.310344827586206,6.234142444611322,42,7.412999999999999,0.1473432199622888,38.793103448275865,5.746920357553175,38,5.9304,0.14814283588359295,28.137931034482758,31.32288544673622,16,23.7216,1.1131907818080273,3.5896595508681655,0.5189832302319298,3.5768331176482153,0.5906575917107473,0.1445772845244928
7,21,271.6190476190476,74.03679908699199,280,47.4432,0.27257587321648524,266.6666666666667,70.80489625254269,264,71.1648,0.26551836094703507,28.19047619047619,22.99482343402325,16,11.8608,0.8156947501933923,33.142857142857146,23.635324652489363,24,23.7216,0.713134795549248,0.6101285488497783,0.12280356612888,0.581185799729674,0.07654281307805219,0.2012749056905971,46.476190476190474,7.941152609155976,47,7.412999999999999,0.1708649639265118,9,5.310367218940701,7,2.9652,0.5900408021045224,42.95238095238095,7.419408268023741,43,4.4478,0.17273566921119576,42.333333333333336,7.052186422190875,43,5.9304,0.16658708083915452,4.9523809523809526,14.637199836294476,0,0,2.9555884284825384,4.270899841948448,0.8596249629021601,4.068300598107718,0.5357996915463656,0.20127490569059714
8,9,284.44444444444446,34.43512418705322,280,35.5824,0.12106098347010896,271.1111111111111,38.45921360494922,280,35.5824,0.14185775510022255,8.88888888888889,10.154364141151877,8,11.8608,1.1423659658795862,22.22222222222222,25.22785057123267,16,11.8608,1.13525327570547,0.5550754637699861,0.08150387737092078,0.5538568580156253,0.105154429561386,0.14683386798861392,45.333333333333336,6.5,47,5.9304,0.14338235294117646,8.666666666666666,4.58257569495584,8,4.4478,0.5287587340333662,44.22222222222222,5.953523699830583,46,4.4478,0.13462742034792777,42.55555555555556,6.710274046399132,44,4.4478,0.15768267994149396,13.333333333333334,28.284271247461902,0,0,2.1213203435596424,4.4406037101598885,0.6520310189673663,4.430854864125003,0.841235436491088,0.14683386798861392
